"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0 0 0 0 0 0 0 0
"2" 0 0 0 0 0 0 0 0
"3" 0 0 0 0 0 0 0 0
"4" 0 0 0 0 0 0 0 0
"5" 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0
"17" 0 0 0 0 0 0 0 0
"18" 0 0 0 0 0 0 0 0
"19" 0 0 0 0 0 0 0 0
"20" 0 0 0 0 0 0 0 0
"21" 0 0 0 0 0 0 0 0
"22" 0 0 0 0 0 0 0 0
"23" 0 0 0 0 0 0 0 0
"24" 0.666666666666667 0 0 0 0.666666666666667 0 0 0
"25" 2 0 0 0 2 0 0 0
"26" 2 0 0 0 2 0 0 0
"27" 3 0 0 0 3 0 0 0
"28" 3 0 0 0 3 0 0 0
"29" 3 0 0 0 3 0 0 0
"30" 4 0 0 0 4 0 0 0
"31" 5 0 0 0 5 0 0 0
"32" 5 0 0 0 5 0 0 0
"33" 6 0 0 0 6 0 0 0
"34" 6 0 0 0 6 0.333333333333333 0.333333333333333 0
"35" 6 0 0 0 6 0.333333333333333 0.333333333333333 0
"36" 6 0 0 0 6 0.333333333333333 0.333333333333333 0
"37" 6.33333333333333 0.666666666666667 0.666666666666667 0 6.33333333333333 1 1 0
"38" 7.66666666666667 1 1 0 7.66666666666667 1.33333333333333 1.33333333333333 0
"39" 9.33333333333333 1.66666666666667 1.66666666666667 0 9.33333333333333 2 2 0
"40" 11.6666666666667 2 2 0 12 2.33333333333333 2.33333333333333 0
"41" 12.3333333333333 2 2 0 12.6666666666667 2.33333333333333 2.33333333333333 0
"42" 12.6666666666667 3 3 0 13 3.33333333333333 3.33333333333333 0
"43" 13.3333333333333 3.66666666666667 3.66666666666667 0 13.6666666666667 4.33333333333333 4.33333333333333 0
"44" 15 5.33333333333333 5.33333333333333 2.33333333333333 15.3333333333333 6.33333333333333 6.33333333333333 3.33333333333333
