"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0 0 0 0 0 0 0 0
"2" 0 0 0 0 0 0 0 0
"3" 0 0 0 0 0 0 0 0
"4" 0 0 0 0 0 0 0 0
"5" 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0
"17" 0 0 0 0 0 0 0 0
"18" 0 0 0 0 0 0 0 0
"19" 0 0 0 0 0 0 0 0
"20" 0 0 0 0 0 0 0 0
"21" 0 0 0 0 0 0 0 0
"22" 0 0 0 0 0 0 0 0
"23" 0 0 0 0 0 0 0 0
"24" 1.66666666666667 0 0 0 1.66666666666667 0 0 0
"25" 2 0 0 0 2 0 0 0
"26" 2 0 0 0 2 0 0 0
"27" 2 0 0 0 2 0 0 0
"28" 2 0 0 0 2 0 0 0
"29" 4.66666666666667 0 0 0 4.66666666666667 0 0 0
"30" 5 0 0 0 5 0 0 0
"31" 7.66666666666667 0 0 0 7.66666666666667 0 0 0
"32" 9 0 0 0 9 0 0 0
"33" 10.3333333333333 0 0 0 10.3333333333333 0 0 0
"34" 12.3333333333333 0 0 0 12.3333333333333 0 0 0
"35" 13.6666666666667 0 0 0.666666666666667 13.6666666666667 0 0 0.666666666666667
"36" 15 0 1 1 15 0 1 1
"37" 16 0 2.66666666666667 1 16 0 3 1.33333333333333
"38" 16.6666666666667 0.333333333333333 3.33333333333333 3 16.6666666666667 0.333333333333333 4 3.66666666666667
"39" 17.3333333333333 0.333333333333333 5.33333333333333 3.66666666666667 17.3333333333333 0.666666666666667 6.33333333333333 4.66666666666667
"40" 17.6666666666667 1 9 5.66666666666667 17.6666666666667 1.33333333333333 11 6.66666666666667
"41" 18.3333333333333 2.33333333333333 11 6 18.3333333333333 2.66666666666667 13 7
"42" 19 5.33333333333333 13 6 19 5.66666666666667 15.6666666666667 7
"43" 19 6.33333333333333 14 7 19 6.66666666666667 17.3333333333333 8
