"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0 0 0 0 0 0 0 0
"2" 0 0 0 0 0 0 0 0
"3" 0 0 0 0 0 0 0 0
"4" 0 0 0 0 0 0 0 0
"5" 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0
"17" 0 0 0 0 0 0 0 0
"18" 0 0 0 0 0 0 0 0
"19" 0 0 0 0 0 0 0 0
"20" 0 0 0 0 0 0 0 0
"21" 0 0 0 0 0 0 0 0
"22" 0 0 0 0 0 0 0 0
"23" 0 0 0 0 0 0.333333333333333 0.333333333333333 0
"24" 0 0.666666666666667 0.666666666666667 0 0 1 1 0
"25" 0 3.33333333333333 3.33333333333333 0 0 5 5 0
"26" 0.333333333333333 5 5 0 0.333333333333333 7 7 0
"27" 1 6 6 0 1 9.33333333333333 9.33333333333333 0
"28" 3.33333333333333 7 7 0 3.33333333333333 10.3333333333333 10.3333333333333 0
"29" 5.66666666666667 8 8 0 6 13.3333333333333 13.3333333333333 0
"30" 11 9.33333333333333 9.33333333333333 0 11.6666666666667 15.6666666666667 15.6666666666667 0
"31" 13.6666666666667 10 10 0 14.3333333333333 17 17 0
"32" 14.6666666666667 12 12 0 15.3333333333333 20 20 0
"33" 15.3333333333333 13.3333333333333 13.3333333333333 0 16.6666666666667 22.3333333333333 22.3333333333333 0
"34" 16 14.6666666666667 14.6666666666667 6 17.3333333333333 24.6666666666667 24.6666666666667 6
"35" 16.3333333333333 14.6666666666667 14.6666666666667 16 19 25 25 16
"36" 16.6666666666667 15.6666666666667 15.6666666666667 22.3333333333333 19.6666666666667 27 27 22.3333333333333
"37" 17 17 17 25 21.6666666666667 31 31 25
"38" 18.3333333333333 17.6666666666667 17.6666666666667 29 24.3333333333333 33 33 29
"39" 18.3333333333333 19 19 30.6666666666667 26.6666666666667 37.6666666666667 37.6666666666667 30.6666666666667
